,STORE_TYPE,STORE_NAME,ADDRESS_ID,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,ZIP,PHONE,HOURS,SNAP,SIC,NAICS_EXT,SALES_VOL,HDBRCH,NUMBER_EMP,EMPSIZ,FRNCOD,SQFT,SOURCE,POINT_X,POINT_Y,HCSI,NBHD_NAME,COUNCIL_DISTRICT,GLOBALID
0,Dollar Store,Dollar Tree,,5190 Federal Blvd,,Denver,CO,80221.0,(303) 455-3278,,,533101.0,452990.0,2879000.0,,17.0,10 to 19,,"2,500 - 9,999",InfoGroup2014,-105.024782,39.790432,,Chaffee Park,Council District 1,{00000000-0000-0000-0000-000000000000}
1,Dollar Store,Dollars City,,4855 Pecos St,,Denver,CO,80221.0,(303) 477-4070,,,533101.0,452990.0,338000.0,,2.0,1 to 4,,"0 - 2,499",InfoGroup2014,-105.00708200000001,39.784801,,Chaffee Park,Council District 1,{00000000-0000-0000-0000-000000000000}
2,Small Grocery Store,Leever's / Save A Lot,,4860 Pecos St,,Denver,CO,80221.0,(720) 855-6622,,,541105.0,445110.0,774000.0,,3.0,1 to 4,,"0 - 2,499",InfoGroup2014,-105.005719,39.784969,,Chaffee Park,Council District 1,{00000000-0000-0000-0000-000000000000}
3,Convenience Store,7-Eleven,,3810 N FEDERAL BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.024892,39.769585,,Sunnyside,Council District 1,{00000000-0000-0000-0000-000000000000}
4,Convenience Store,For Every Day Store,,4595 Pecos St,,Denver,CO,80211.0,(303) 433-1815,,,541105.0,445110.0,774000.0,,3.0,1 to 4,,"0 - 2,499",InfoGroup2014,-105.00684299999999,39.779893,,Sunnyside,Council District 1,{00000000-0000-0000-0000-000000000000}
5,Convenience Store,Friendly Market,,1700 W 40th Ave,,Denver,CO,80211.0,(303) 458-1930,,,541105.0,445110.0,258000.0,,1.0,1 to 4,,"0 - 2,499",InfoGroup2014,-105.006628,39.771625,,Sunnyside,Council District 1,{00000000-0000-0000-0000-000000000000}
6,Convenience Store,Sunnyside Drug,,4600 N LIPAN ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.001499,39.780398,,Sunnyside,Council District 1,{00000000-0000-0000-0000-000000000000}
7,Convenience Store With Gas,7-Eleven,,1301 W 38TH AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.00218000000001,39.769714,,Sunnyside,Council District 1,{00000000-0000-0000-0000-000000000000}
8,Convenience Store With Gas,7-Eleven,,1595 W 47TH AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.00594,39.782336,,Sunnyside,Council District 1,{00000000-0000-0000-0000-000000000000}
9,Small Grocery Store,Tejon Market,,4385 Tejon St,,Denver,CO,80211.0,(720) 855-7792,,,541105.0,445110.0,258000.0,,1.0,1 to 4,,"0 - 2,499",InfoGroup2014,-105.011573,39.776362,,Sunnyside,Council District 1,{00000000-0000-0000-0000-000000000000}
10,Specialty Food Store,Canino's Sausage Co Inc,,4414 Jason St,,Denver,CO,80211.0,(303) 455-4339,,,542108.0,445210.0,3153000.0,,15.0,10 to 19,,"2,500 - 9,999",InfoGroup2014,-104.99901899999999,39.776901,,Sunnyside,Council District 1,{00000000-0000-0000-0000-000000000000}
11,Closed Specialty Food Store,Sunnyside Market,,4401 Tejon St,,Denver,CO,80211.0,,,,,,,,,,,,DEH2015,-105.011508,39.776794,,Sunnyside,Council District 1,{00000000-0000-0000-0000-000000000000}
12,Convenience Store,Salwan Market,,2215 W 32nd Ave,,Denver,CO,80211.0,(303) 433-6053,,,541105.0,445110.0,258000.0,,1.0,1 to 4,,"0 - 2,499",InfoGroup2014,-105.01316000000001,39.762273,,Highland,Council District 1,{00000000-0000-0000-0000-000000000000}
13,Convenience Store With Gas,7-Eleven,,2500 W 38TH AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.01781299999999,39.769034999999995,,Highland,Council District 1,{00000000-0000-0000-0000-000000000000}
14,Convenience Store With Gas,Conoco,,2727 N ZUNI ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.01618300000001,39.756716,,Highland,Council District 1,{00000000-0000-0000-0000-000000000000}
15,Small Grocery Store,Leever's / Save A Lot,,2630 W 38th Ave,,Denver,CO,80211.0,(303) 433-4405,,,541105.0,445110.0,3870000.0,,15.0,10 to 19,,"2,500 - 9,999",InfoGroup2014,-105.019624,39.768842,,Highland,Council District 1,{00000000-0000-0000-0000-000000000000}
16,Small Grocery Store,Variety Supermarket,,3500 Mariposa St,,Denver,CO,80211.0,(303) 458-0109,,,541105.0,445110.0,516000.0,,2.0,1 to 4,,"0 - 2,499",InfoGroup2014,-105.00281399999999,39.765758,,Highland,Council District 1,{00000000-0000-0000-0000-000000000000}
17,Specialty Food Store,Rosales Bakery,,2636 W 32ND AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.019742,39.761908,,Highland,Council District 1,{00000000-0000-0000-0000-000000000000}
18,Specialty Food Store,Savory Spice Shop,,1537 Platte St,,Denver,CO,80202.0,(303) 477-3322,,,549902.0,445299.0,458000.0,,4.0,1 to 4,,"2,500 - 9,999",InfoGroup2014,-105.008749,39.757215,,Highland,Council District 1,{00000000-0000-0000-0000-000000000000}
19,Convenience Store With Gas,Safeway Fuel,,2995 W 26TH AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.02437900000001,39.755437,,Jefferson Park,Council District 1,{00000000-0000-0000-0000-000000000000}
20,Convenience Store With Gas,Speer Phillips 66,,2757 N SPEER BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.016296,39.756252,,Jefferson Park,Council District 1,{00000000-0000-0000-0000-000000000000}
21,Supermarket,Safeway,,2660 Federal Blvd,,Denver,CO,80211.0,(303) 477-5091,,,541105.0,445110.0,18061000.0,,70.0,50 to 99,,"2,500 - 9,999",InfoGroup2014,-105.02437900000001,39.755435,,Jefferson Park,Council District 1,{00000000-0000-0000-0000-000000000000}
22,Convenience Store,Marwa Market,,4330 W COLFAX AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.043181,39.740069,Healthy Corner Store Initiative,West Colfax,Council District 1,{00000000-0000-0000-0000-000000000000}
23,Pharmacy,Walgreen,,5151 W COLFAX AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.05264199999999,39.740784000000005,,West Colfax,Council District 1,{00000000-0000-0000-0000-000000000000}
24,Convenience Store,7-Eleven,,3190 W 38TH AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.02965800000001,39.769135,,West Highland,Council District 1,{00000000-0000-0000-0000-000000000000}
25,Convenience Store With Gas,Circle K,,3600 W 38TH AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.034976,39.769284999999996,,West Highland,Council District 1,{00000000-0000-0000-0000-000000000000}
26,Convenience Store With Gas,Conoco,,4380 W 38TH AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.043706,39.76913,Healthy Corner Store Initiative,West Highland,Council District 1,{00000000-0000-0000-0000-000000000000}
27,Dollar Store,Family Dollar,,3125 Federal Blvd,,Denver,CO,80211.0,(303) 455-4161,,,533101.0,452990.0,846000.0,,5.0,5 to 9,,"0 - 2,499",InfoGroup2014,-105.02571599999999,39.761347,,West Highland,Council District 1,{00000000-0000-0000-0000-000000000000}
28,Pharmacy,Botanica Yemaya,,3773 Federal Blvd,,Denver,CO,80211.0,(303) 477-5452,,,549913.0,445299.0,229000.0,,2.0,1 to 4,,"2,500 - 9,999",InfoGroup2014,-105.02566399999999,39.768971,,West Highland,Council District 1,{00000000-0000-0000-0000-000000000000}
29,Pharmacy,Walgreen,,2975 N FEDERAL BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.02568500000001,39.760088,,West Highland,Council District 1,{00000000-0000-0000-0000-000000000000}
30,Specialty Food Store,Gluten Free Goods,,2990 Vrain St,,Denver,CO,80212.0,(303) 482-1183,,,541105.0,445110.0,774000.0,,3.0,1 to 4,,"0 - 2,499",InfoGroup2014,-105.046167,39.760044,,West Highland,Council District 1,{00000000-0000-0000-0000-000000000000}
31,Specialty Food Store,Happy Cakes,,3434 W 32ND AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.03313200000001,39.761888,,West Highland,Council District 1,{00000000-0000-0000-0000-000000000000}
32,Specialty Food Store,Seafood Landing,,3457 W 32nd Ave,,Denver,CO,80211.0,(303) 571-1995,,,542101.0,445220.0,210000.0,,1.0,1 to 4,,"0 - 2,499",InfoGroup2014,-105.03383999999998,39.762365,,West Highland,Council District 1,{00000000-0000-0000-0000-000000000000}
33,Specialty Food Store,St Kilian's Cheese Shop,,3211 Lowell Blvd,,Denver,CO,80211.0,(303) 477-0374,,,545103.0,445299.0,159000.0,,2.0,1 to 4,,"0 - 2,499",InfoGroup2014,-105.034947,39.762367,,West Highland,Council District 1,{00000000-0000-0000-0000-000000000000}
34,Convenience Store,7-Eleven,,2609 N FEDERAL BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.025683,39.755109999999995,,Sloan Lake,Council District 1,{00000000-0000-0000-0000-000000000000}
35,Convenience Store,7-Eleven,,5195 W BYRON PL,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.052879,39.7533,,Sloan Lake,Council District 1,{00000000-0000-0000-0000-000000000000}
